CustomerID,Lookalikes
C0001,"[('C0091', 0.9999999913446527), ('C0118', 0.9999999886167525), ('C0184', 0.9999999875851355)]"
C0002,"[('C0159', 0.9999999885704548), ('C0134', 0.9999999826314253), ('C0106', 0.9999999737150439)]"
C0003,"[('C0133', 0.999999986931407), ('C0052', 0.9999999752331636), ('C0129', 0.9999999736365346)]"
C0004,"[('C0148', 0.9999999982472241), ('C0012', 0.9999999980122914), ('C0113', 0.9999999965382188)]"
C0005,"[('C0007', 0.999999994596147), ('C0140', 0.9999999843882114), ('C0146', 0.9999999823684498)]"
C0006,"[('C0187', 0.9999999951258428), ('C0169', 0.9999999939181511), ('C0108', 0.9999999910191537)]"
C0007,"[('C0005', 0.999999994596147), ('C0146', 0.9999999902465307), ('C0140', 0.9999999781785468)]"
C0008,"[('C0154', 0.9999999959048298), ('C0117', 0.9999999953470158), ('C0194', 0.999999994720869)]"
C0009,"[('C0198', 0.9999999378091988), ('C0029', 0.9999997995997792), ('C0049', 0.9999997193715527)]"
C0010,"[('C0061', 0.9999999845079806), ('C0034', 0.9999999590841228), ('C0042', 0.9999999528037731)]"
C0011,"[('C0126', 0.9999999876280933), ('C0118', 0.99999998242822), ('C0006', 0.9999999809025494)]"
C0012,"[('C0004', 0.9999999980122914), ('C0148', 0.9999999966086242), ('C0113', 0.9999999965573734)]"
C0013,"[('C0102', 0.9999999971114861), ('C0016', 0.9999999954682876), ('C0183', 0.9999999952592454)]"
C0014,"[('C0095', 0.9999964532981797), ('C0015', 0.9999959810432228), ('C0025', 0.9999958719466362)]"
C0015,"[('C0025', 0.9999999129774004), ('C0071', 0.9999998681173328), ('C0031', 0.9999997983803529)]"
C0016,"[('C0183', 0.9999999999934206), ('C0013', 0.9999999954682876), ('C0067', 0.9999999934478984)]"
C0017,"[('C0057', 0.9999999981440139), ('C0075', 0.9999999978844509), ('C0041', 0.9999999969421586)]"
C0018,"[('C0122', 0.9999999962147735), ('C0188', 0.9999999936015123), ('C0087', 0.9999999932355752)]"
C0019,"[('C0070', 0.9999999794563141), ('C0125', 0.9999999613164248), ('C0018', 0.9999999529514285)]"
C0020,"[('C0112', 0.9999995807811191), ('C0095', 0.9999995790815838), ('C0192', 0.9999994661255935)]"
